Node Id,Row Size (bytes),AverageHdfsReadThreadConcurrency,AverageScannerThreadConcurrency,BytesRead,BytesReadDataNodeCache,BytesReadLocal,BytesReadShortCircuit,DecompressionTime,MaxCompressedTextFileLength,NumColumns,NumDisksAccessed,NumScannerThreadsStarted,PeakMemoryUsage,PerReadThreadRawHdfsThroughput,RowsRead,RowsReturned,RowsReturnedRate,ScanRangesComplete,ScannerThreadsInvoluntaryContextSwitches,ScannerThreadsTotalWallClockTime,DelimiterParseTime,MaterializeTupleTime(*),ScannerThreadsSysTime,ScannerThreadsUserTime,ScannerThreadsVoluntaryContextSwitches,TotalRawHdfsReadTime(*),TotalReadThroughput,Parser Delimiter Cost (Bytes/NS),Materialize Tuple Cost (Bytes/NS)
8,48,0.15,3.15,80863622,0,80863622,80863622,0.0,0,0,3,4,113246208,57760000000.0,10844596,10844596,27430000.0,4,21,19577000000.0,0,16902000000.0,14996000.0,1200000000.0,10502,1335000000.0,11860000000.0,0.0,0.05988592574684078
8,48,0.20,1.80,51302345,0,51302345,51302345,0.0,0,0,2,2,73879768,22000000000.0,6903614,6903614,18890000.0,2,18,8392000000.0,0,6814000000.0,20996000.0,707891000.0,6628,2224000000.0,9790000000.0,0.0,0.042709337201101406
8,48,0.00,2.10,54789531,0,54789531,54789531,0.0,0,0,3,3,73879768,42450000000.0,7334764,7334764,23090000.0,3,21,9459000000.0,0,8501000000.0,16997000.0,804876000.0,6940,1230000000.0,10450000000.0,0.0,0.04252374588155373
8,48,0.14,1.43,36726226,0,36726226,36726226,0.0,0,0,2,2,57049088,32600000000.0,4917026,4917026,13470000.0,2,10,5453000000.0,0,4372000000.0,14997000.0,503922000.0,4683,1074000000.0,10010000000.0,0.0,0.022446936954249125
0,40,3.85,19.48,1960840611,0,1960840611,1960840611,0.0,0,0,8,23,1621407632,29150000000.0,78099342,68388082,63830000.0,31,250,326000000000.0,0,276000000000.0,712880000.0,18828000000.0,71110,64000000000.0,110000000000.0,0.0,0.07292188795518208
0,40,3.97,19.71,1901267432,0,1901267432,1901267432,0.0,0,0,8,23,1529546296,26010000000.0,75793985,66345067,61860000.0,29,774,329000000000.0,0,267000000000.0,1179000000.0,17819000000.0,68317,69000000000.0,106660000000.0,0.0,0.07070334421641791
0,40,4.22,17.70,1310492793,0,1310492793,1310492793,0.0,0,0,8,20,1353488872,25770000000.0,52237157,45737605,50020000.0,20,305,206000000000.0,0,165000000000.0,1174000000.0,12109000000.0,49715,48496000000.0,104150000000.0,0.0,0.05712350130131444
0,40,2.11,14.74,1049738406,0,1049738406,1049738406,0.0,0,0,7,16,1127123448,49000000000.0,41797909,36586891,46450000.0,16,211,135000000000.0,0,112000000000.0,582902000.0,9284000000.0,49038,20432000000.0,105380000000.0,0.0,0.05306855581555088
3,12,0.00,0.00,88017,0,88017,88017,0.0,0,0,1,1,203136,2447360000000.0,7200,5040,95510.0,1,0,53316000.0,0,1107000.0,0.0,999000.0,6,34292.0,0.0,0.0,0.0065040650406504065
2,33,0.00,0.00,113826,0,113826,113826,0.0,0,0,1,1,243528,2344960000000.0,1350,1261,45250.0,1,0,27778000.0,0,302663.0,0.0,0.0,6,46214.0,0.0,0.0,0.004460406458668552
1,30,1.00,1.00,1680049,0,1680049,1680049,0.0,0,0,1,1,3964920,19030000000.0,73049,90,217.0,1,0,412913000.0,0,10186000.0,2999000.0,9998000.0,6,84216000.0,1000000000.0,0.0,0.007171509915570391

